model_time,leadtime_hours,valid_time,cape_mean,cape_std,cape_q10,cape_q90,sp_mean,sp_std,sp_q10,sp_q90,tcw_mean,tcw_std,tcw_q10,tcw_q90,sshf_mean,sshf_std,sshf_q10,sshf_q90,slhf_mean,slhf_std,slhf_q10,slhf_q90,msl_mean,msl_std,msl_q10,msl_q90,u10_mean,u10_std,u10_q10,u10_q90,v10_mean,v10_std,v10_q10,v10_q90,t2m_mean,t2m_std,t2m_q10,t2m_q90,d2m_mean,d2m_std,d2m_q10,d2m_q90,ssr_mean,ssr_std,ssr_q10,ssr_q90,str_mean,str_std,str_q10,str_q90,ttr_mean,ttr_std,ttr_q10,ttr_q90,sund_mean,sund_std,sund_q10,sund_q90,skt_mean,skt_std,skt_q10,skt_q90,cin_mean,cin_std,cin_q10,cin_q90,sm_mean,sm_std,sm_q10,sm_q90,st_mean,st_std,st_q10,st_q90,sd_mean,sd_std,sd_q10,sd_q90,sf_mean,sf_std,sf_q10,sf_q90,tcc_mean,tcc_std,tcc_q10,tcc_q90,tp_mean,tp_std,tp_q10,tp_q90,mx2t6_mean,mx2t6_std,mx2t6_q10,mx2t6_q90,mn2t6_mean,mn2t6_std,mn2t6_q10,mn2t6_q90,hour_of_day,day_of_year,hour_sin,hour_cos,doy_sin,doy_cos,obs_temp_K,obs_temp_C
2023-02-01 00:00:00+00:00,66.0,2023-02-03 18:00:00+00:00,8.2427017595,8.899990978370102,0.4020351305000001,20.581533,102302.42496000002,143.10860040542025,102103.222,102463.8515,18.82375574,1.8921216249255144,16.7648098,20.8859918,4595419.97,743787.3533993157,3797904.43,5670036.05,-4441354.074,488597.58260228834,-5155285.35,-3760254.73,103243.9368,145.09309799362566,103041.411,103407.398,4.515953488,0.6423342087938478,3.8756932600000003,5.41580665,-0.34145769790600006,1.1554855403335602,-2.0071272799999997,0.8194894060000002,282.34331879999996,0.5733263156376277,281.506578,283.008054,279.9916094,0.7724312058963497,279.026544,280.853003,9614627.11,946448.5112797343,8542742.3,11009991.6,-8110861.55,913316.3382544421,-9164558.7,-7042132.2,-51445201.52,527818.9018733464,-52023536.8,-50808670.2,32730.629780000007,7776.486987730505,25171.556099999998,44287.07,281.58779840000005,0.6838099859217951,280.77818,282.356962,-0.577201454844,0.5309542509240179,-1.0171508599999999,0.00015258789,360.0932854,2.240456283280406,357.734625,363.14847299999997,280.3383126,0.238227858356629,279.960264,280.61162,0.0,0.0,0.0,0.0,2.3841858e-07,0.0,2.3841858e-07,2.3841858e-07,99.09713359999998,3.457438514592087,99.7183215,99.999405,1.1051650672,0.7102757857335754,0.38529615700000003,2.14023534,283.4691188,0.6320430744157394,282.658942,284.23424600000004,282.2381508,0.5552141978638048,281.45615000000004,282.86520199999995,18,34,-1.0,-1.8369701987210297e-16,0.5524353131676196,0.8335557718385699,282.5986111111111,9.448611111111111
2023-02-03 00:00:00+00:00,18.0,2023-02-03 18:00:00+00:00,12.8703814314,8.448389945778716,3.32174076,24.6180282,102214.52953999997,27.450913485569327,102184.18800000001,102250.03300000001,19.85591916,0.6674569056787865,19.0070846,20.5917423,1049200.331,157755.94852056628,855197.85,1202482.02,-1051189.81,154195.08861185977,-1286664.45,-867622.35,103152.68346000001,27.809593003655564,103120.75200000001,103188.659,4.96441922,0.4395771017774233,4.4433567,5.55229,-0.81482809038,0.58953598732511,-1.59634545,-0.202878913,283.20456480000007,0.32411602637327325,282.857376,283.60881,280.8641162,0.23470849449329176,280.6089,281.135016,1976829.72,370578.8305041149,1580028.6,2569769.8000000003,-1105122.8,233163.3632217934,-1473612.0,-858471.4,-14250093.6,348697.81608722475,-14556751.6,-13804351.6,2078.986424,2627.2599681123697,0.0078125,6526.2955,282.518333,0.36709172781416677,282.098443,282.90995200000003,-0.05614938808400001,0.12580334888098296,-0.168671324042,0.000111579895,362.93973660000006,2.1874927962718576,360.64657600000004,365.022872,280.88140699999997,0.14519113657449825,280.699525,281.093048,0.0,0.0,0.0,0.0,-1.1920929e-07,0.0,-1.1920929e-07,-1.1920929e-07,99.89228192,0.7458321059737636,99.999435,99.999435,0.22622108398,0.15206422867590655,0.092024089,0.370381073,284.321962,0.3998167245585582,283.942028,284.84361,283.18553,0.31687329314115703,282.782757,283.60761399999996,18,34,-1.0,-1.8369701987210297e-16,0.5524353131676196,0.8335557718385699,282.5986111111111,9.448611111111111
2023-02-03 00:00:00+00:00,36.0,2023-02-04 12:00:00+00:00,15.3444231556,10.747038818618128,2.0224606200000004,29.5800835,102854.02597999999,62.98503582354707,102784.14,102940.064,13.758506950000001,1.3995692818995342,11.935396,15.292799,1656518.93,246154.47997760968,1345553.99,1893287.0500000003,-1528081.144,252917.97889085053,-1764025.35,-1218935.4,103805.7498,63.73655535699681,103734.2784,103893.8426,0.20741196206,1.2568249010205488,-1.1036949,1.9545744300000008,-0.489365390686,0.7139873114770192,-1.63871902,0.3037280960000001,281.644839,0.47387446093187313,281.18260300000003,282.20073,279.59136220000005,1.2098059877235665,277.835462,280.962108,2769411.38,644486.0379059501,2054579.6,3480014.2,-1673062.36,369824.25751008844,-2106385.6999999997,-1289711.0,-28952785.6,375978.14564538025,-29276325.2,-28473795.6,3605.5698593,4465.233144306674,0.0078125,8494.8424,282.274241,0.9522605449102961,281.401813,283.61863600000004,-1.625028804063,3.47472444909091,-4.8175470439999994,0.000111579895,366.572587,4.128599950597597,361.652717,372.48616400000003,280.86502679999995,0.16746559100049213,280.679126,281.066443,0.0,0.0,0.0,0.0,-1.1920929e-07,0.0,-1.1920929e-07,-1.1920929e-07,96.16587920000002,9.446047131164933,84.03312840000001,99.999435,1.6921807410000003,0.8661133227001526,0.673180776,2.9023562700000003,281.6357694,0.43557600865515944,281.191883,282.145941,280.55963360000004,0.7201295338971017,279.683516,281.225307,12,35,1.2246467991473532e-16,-1.0,0.5667017562911176,0.8239230057575542,282.8013888888889,9.651388888888889
2023-02-01 00:00:00+00:00,84.0,2023-02-04 12:00:00+00:00,8.180418057399999,6.372549866809777,2.3157001200000003,17.7946291,102739.3801,102.76478241571384,102622.396,102861.12000000001,12.34046656,1.4444367018273607,10.94795805,14.22162,5218684.47,862364.2635250406,4357729.75,6199845.300000001,-4917861.956,533642.2884694648,-5703089.15,-4232557.45,103689.35324000003,104.2567660686056,103568.423,103812.374,3.480909828,0.8277758501727838,2.34062666,4.33561776,-1.0718185604,0.9786837490731385,-2.1105372599999996,0.18341443800000018,282.07888160000005,0.5235213151045649,281.393479,282.787182,279.6058044,0.956471359905265,278.358346,280.80030800000003,10814659.14,952201.4364945937,9694176.8,12157643.3,-9148531.27,1239449.8772681216,-10833015.4,-7700450.7,-66360976.0,576690.9337602821,-66988926.4,-65725847.6,34592.96858000001,8107.629567929591,25343.9711,46534.488600000004,282.90636700000005,0.6689351161521028,282.16554199999996,283.777152,-1.8001624605366666,3.184796788493438,-5.1117253,0.00015258789,359.7339766,3.233339612732912,356.907951,363.37911,280.4600418,0.40907222568552276,280.048451,280.941507,0.0,0.0,0.0,0.0,2.3841858e-07,0.0,2.3841858e-07,2.3841858e-07,97.48113871999998,6.963826356687959,89.162171,99.999405,1.4854985658000002,1.0031431996491904,0.518996903,2.74980483,282.0206784,0.5097833235571595,281.343752,282.722106,279.9439274,1.0964058970011104,278.40708,281.25719,12,35,1.2246467991473532e-16,-1.0,0.5667017562911176,0.8239230057575542,282.8013888888889,9.651388888888889
2023-02-05 00:00:00+00:00,6.0,2023-02-05 06:00:00+00:00,27.693098040000006,9.202823708327344,17.7357816,37.805029700000006,102868.61894000001,28.69924838197304,102838.338,102896.9565,13.510225039999998,0.2742588812163599,13.2132702,13.813887,290371.56960000005,41341.02788614541,242041.325,334321.108,-149128.57,51680.67826300843,-220209.0,-87006.04999999999,103826.1814,28.985490500437322,103795.7066,103855.5285,4.404030678,0.27719238637867644,4.07726196,4.80601476,-0.77743276004,0.6091071175687777,-1.5158126,-0.015385055999999862,279.1532758,0.18142370651621761,278.95180700000003,279.403184,278.0973912,0.26153331214550246,277.806997,278.440006,0.0,0.0,0.0,0.0,-505924.64,108000.1225928556,-647933.8,-388191.19999999995,-4792263.28,44546.78672442066,-4851378.4,-4738869.2,-0.0078125,0.0,-0.0078125,-0.0078125,278.6673264,0.17329376299479954,278.447739,278.913896,-0.047801746854117644,0.0891459724162366,-0.187769316,0.00022315979,366.2232306,2.7368299233970803,363.143928,369.831754,279.6211424,0.11004691521902783,279.485705,279.74945,-2.3841858e-07,0.0,-2.3841858e-07,-2.3841858e-07,2.3841858e-07,0.0,2.3841858e-07,2.3841858e-07,99.99948000000002,1.4355131050823087e-14,99.99948,99.99948,0.36874461179999996,0.17785963598005985,0.177998877,0.59381793,279.7090524,0.20563660692689603,279.396585,279.955746,278.641776,0.24635704372280204,278.366155,278.923878,6,36,1.0,6.123233995736766e-17,0.5808002734538009,0.8140460935082178,279.74583333333334,6.595833333333334
2023-02-03 00:00:00+00:00,54.0,2023-02-05 06:00:00+00:00,14.7716055384,12.977519391522142,1.9708526300000002,33.827366500000004,103062.65996000002,190.4520493722232,102880.0864,103279.144,12.154285533999998,1.419416460269516,11.167418900000001,13.2734809,1959965.3500000003,379226.43960577855,1470894.06,2354070.95,-1972957.82,376112.95304918056,-2372111.2199999997,-1483509.2,104021.69166,192.43468602116897,103837.4795,104243.6875,2.2842502164000003,1.0173634468292108,0.956133925,3.4683055400000002,-1.4805842686999997,1.9909569991174687,-5.1607696999999995,0.6181746660000002,278.86591219999997,0.665242711783283,278.146517,279.53837599999997,277.83619500000003,0.9883904725737139,276.955897,278.711396,3597307.26,1109046.8799462917,2542952.4,4844934.5,-2833457.86,668431.8865876332,-3383098.8,-2198221.4,-43459151.08,418100.74947908556,-43865859.2,-43014269.0,5657.27114525,7901.816544788883,0.0078125,14277.269500000002,278.3156814,0.6624121184376854,277.50085,278.985057,-1.7038564657742854,3.671478469692254,-5.8309722,0.000111579895,366.98716479999996,5.017974373226724,361.154962,373.197205,279.60175780000003,0.2759362338220109,279.317992,279.908596,0.0,0.0,0.0,0.0,-1.1920929e-07,0.0,-1.1920929e-07,-1.1920929e-07,93.58614641999996,13.103319408443486,65.829149,99.999435,2.4020306529999997,1.1955223850027774,1.04892151,4.19494755,279.579975,0.7118022027600645,278.900237,280.17369099999996,278.6279428,0.7419055950754428,277.758351,279.444793,6,36,1.0,6.123233995736766e-17,0.5808002734538009,0.8140460935082178,279.74583333333334,6.595833333333334
2023-02-01 00:00:00+00:00,102.0,2023-02-05 06:00:00+00:00,11.7359006018,13.362983957180937,0.0,31.252813500000002,102863.57344000001,257.566543627725,102473.0185,103175.402,10.330234491999999,3.7925204678443976,5.960879,14.979907800000001,5872336.01,827387.3389575217,4990085.55,6975246.95,-5791736.76,601284.517125469,-6626206.75,-5033883.95,103821.70455999998,260.8988722307402,103427.62240000001,104133.901,2.87716390656,1.6228740869602292,0.659547274,5.0757507,-3.5528379826000003,2.2031350029643293,-5.90420826,-0.5002238999999986,278.9193988,0.9494811932810765,277.45600099999996,280.00457,276.95554480000004,1.693778735724599,275.112007,278.58004600000004,11887501.42,1049895.2056119812,10536409.0,13191689.8,-10252198.53,1274212.0917092834,-11754680.3,-8766453.9,-81204369.04,621873.4658328638,-81854065.0,-80494775.4,35699.75920000001,8744.417940857267,25343.9711,48110.4505,278.1444442,1.2251934919458611,276.11262400000004,279.44167899999997,-0.8332118808439999,1.4228484829304981,-2.186471696,0.00015258789,361.474513,4.356418351757745,357.384011,368.24693,279.5736488,0.33000690299916785,279.09686500000004,279.983695,0.0,0.0,0.0,0.0,2.3841858e-07,0.0,2.3841858e-07,2.3841858e-07,69.59621024,37.33869306518935,12.1764217,99.999405,2.5531187736000005,1.304561307039051,1.1641423,4.291583460000001,280.1688388,0.5329811995138893,279.53214,280.67596000000003,278.760988,0.7901360721381332,277.590354,279.62012599999997,6,36,1.0,6.123233995736766e-17,0.5808002734538009,0.8140460935082178,279.74583333333334,6.595833333333334
2023-02-03 00:00:00+00:00,60.0,2023-02-05 12:00:00+00:00,3.9196920392799997,4.799351295144662,0.0,8.8719787,103229.76464,209.40744307208882,103067.501,103415.3965,8.932359928,2.0305059721957215,7.29545563,11.9114365,1772405.7120000003,419162.4396995316,1197350.48,2190511.1,-2826629.328,466853.29792378057,-3438717.6,-2293627.0799999996,104189.48196,211.61630789661348,104025.29800000001,104378.727,-0.5593477346799999,1.080239221549373,-1.99765942,1.03735175,-5.164859123,2.0622171743037367,-7.53751926,-3.1949166999999994,280.713121,0.9075906264890665,279.789477,281.545282,276.288233,2.2784056181123478,273.30203800000004,278.620539,5607056.12,1212047.9145185982,4054379.4,7384383.4,-3645747.3,710237.5023218484,-4561850.4,-2827503.3,-48241732.32,510829.2713065384,-48702040.4,-47612432.8,13488.132361999998,9054.385251977963,4022.48668,25808.0258,281.79532839999996,1.1562803769553807,280.158463,282.956382,-0.12972507686100002,0.2901924607000367,-0.38935146959600003,0.000111579895,367.6325107999999,6.1296501027709045,360.7571,375.01994,279.961419,0.35638990999168085,279.58130900000003,280.357076,0.0,0.0,0.0,0.0,-1.1920929e-07,0.0,-1.1920929e-07,-1.1920929e-07,72.034934748,25.913657798604532,32.6429514,99.999435,2.83542485,1.5308625701840846,1.2377143899999998,4.73639179,280.7082684,0.8269652571641507,279.861301,281.49971400000004,278.4857058,0.7652888274826427,277.41627400000004,279.225029,12,36,1.2246467991473532e-16,-1.0,0.5808002734538009,0.8140460935082178,280.81666666666666,7.666666666666667
2023-02-01 00:00:00+00:00,108.0,2023-02-05 12:00:00+00:00,1.8699882556,3.1205335628194213,0.0,5.608091360000002,103165.16547999998,306.37969793134226,102677.108,103527.36,7.252656870000001,1.1620076347181447,5.50754133,8.5652524,5709966.223999999,829197.8582554031,4835408.45,6765113.25,-6960200.25,680399.9445233367,-7709633.2,-6077184.45,104125.00172,309.1213931139281,103631.269,104494.176,2.069842031,1.416068298833082,0.33901339900000005,3.71385081,-6.079033206,1.8180361048146156,-7.886958399999999,-3.3921319199999997,280.5466588,0.5596094799077381,279.789502,281.107145,274.2167918,1.3267035218897487,272.57047700000004,275.88687500000003,14789970.54,1091768.2062610253,13386477.7,16284196.2,-11733273.12,1359334.2631271584,-13336920.4,-10139417.0,-86252484.68,660291.170562436,-86974358.6,-85435589.0,50057.75176000001,8953.858140223347,38612.967500000006,63253.9078,281.7914386,0.799710136022536,280.94996,282.815338,-0.399824045477,1.0637473551670336,-0.6494854939999999,0.00015258789,361.83259159999994,5.928631065912564,356.769268,369.85497399999997,279.8213782,0.30384110774191797,279.448663,280.184092,0.0,0.0,0.0,0.0,2.3841858e-07,0.0,2.3841858e-07,2.3841858e-07,43.78024371062,28.08666344374865,4.147414200000001,83.31269510000001,2.9747950955999998,1.7517221288526297,1.1877157,5.412111970000001,280.49586999999997,0.54881326069836,279.88711400000005,281.03565199999997,277.8493854,1.201705879056951,276.32995700000004,279.191038,12,36,1.2246467991473532e-16,-1.0,0.5808002734538009,0.8140460935082178,280.81666666666666,7.666666666666667
2023-02-01 00:00:00+00:00,126.0,2023-02-06 06:00:00+00:00,4.05266370148,9.72070816837381,0.0,11.274028700000002,102833.14348000001,316.355167201149,102339.473,103170.4165,8.91446933,2.7833736358173984,5.33768548,12.16071365,7075011.78,1047384.3394699871,6194503.25,8167589.25,-8092318.91,871460.5872315079,-9005432.6,-7052390.25,103800.23157999999,319.16236792765426,103296.212,104139.59400000001,1.05618203594,1.8935687334573297,-0.8209152670000001,3.1278549600000005,-2.17367356354,2.1496149685314534,-4.81172649,1.1319168800000001,275.10577639999997,1.911956365497486,272.330517,277.373433,273.7244312,1.909773579885087,271.102689,275.889119,17512415.58,1217557.743356273,15837590.3,19052628.2,-16046555.68,1582916.0187735339,-18279562.2,-13894653.7,-100863692.76,903615.884172743,-101818042.0,-99589654.0,64716.13722000001,9264.165360463718,53807.8283,77302.702,274.211004,2.0578760446784043,271.152416,276.713218,-0.191021921055,0.27036158333003557,-0.34396152821099996,-0.03808231389899999,360.0971631999999,5.9551011797931075,354.75644300000005,368.98628,277.52830700000004,0.7576850415258556,276.413989,278.381995,0.006134083282,0.03703734055029997,0.0,0.001120924940000002,0.010025382112722,0.056464420533922685,2.3841858e-07,0.00030333995672200426,60.18996103600001,37.42758285936753,7.16836547,99.999405,3.3026516644,2.048582054701535,1.1877157,6.7305892400000005,276.20455719999995,1.6107075529121748,273.60515,277.922058,274.8602144,1.8589667143589548,272.060864,277.064692,6,37,1.0,6.123233995736766e-17,0.5947266869607634,0.8039279618328213,276.2097222222222,3.0597222222222222
